Year,Title,Theater,Day of the Week,Date,Time,Saw with April
2017,Get Out,Mall St. Matthews,Wednesday,3/15/2017,7:40 PM,N
2017,Beauty and the Beast,Baxter Avenue,Thursday,3/16/2017,7:30 PM,Y
2017,Beauty and the Beast,Mall St. Matthews,Sunday,3/26/2017,11:00 AM,Y
2017,Power Rangers,Mall St. Matthews,Monday,4/3/2017,10:20 AM,N
2017,Ghost in the Shell,Baxter Avenue,Monday,4/3/2017,1:25 PM,N
2017,Fate of the Furious,Tinseltown,Sunday,4/23/2017,11:30 AM,Y
2017,Born in China,Tinseltown,Sunday,4/23/2017,2:40 PM,Y
2017,Guardians of the Galaxy vol. 2,Baxter Avenue,Thursday,5/4/2017,7:00 PM,Y
2017,Guardians of the Galaxy vol. 2,Mall St. Matthews,Thursday,5/11/2017,8:15 PM,Y
2017,King Arthur: Legend of the Sword,Baxter Avenue,Tuesday,5/16/2017,1:25 PM,N
2017,Guardians of the Galaxy vol. 2,Baxter Avenue,Tuesday,5/16/2017,10:05 PM,Y
2017,Pirates of the Carribean: Dead Men Tell No Tales,Baxter Avenue,Sunday,5/28/2017,1:20 PM,Y
2017,Baywatch,Tinseltown,Sunday,6/4/2017,11:30 AM,Y
